level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	12	1	2	3	152	789	51	11	93.178062	Actions
5	1	12	1	2	4	207	789	4	14	92.527092	/
5	1	12	1	2	5	215	789	137	14	91.754082	design-memory-gate
3	1	12	2	0	0	74	818	247	14	-1	
4	1	12	2	1	0	74	818	247	14	-1	
5	1	12	2	1	1	74	818	45	14	95.123367	Design
5	1	12	2	1	2	124	819	58	13	93.305016	Memory:
5	1	12	2	1	3	187	818	92	11	92.864899	color.raw-hex
5	1	12	2	1	4	284	818	37	14	95.112534	(new)
3	1	12	3	0	0	73	845	410	13	-1	
4	1	12	3	1	0	73	845	410	13	-1	
5	1	12	3	1	1	73	846	50	9	23.013157	‘#b91cic
5	1	12	3	1	2	131	850	7	2	34.409691	-
5	1	12	3	1	3	146	845	49	13	92.445114	Replace
5	1	12	3	1	4	203	846	50	9	43.306366	#b91cic
5	1	12	3	1	5	261	845	28	10	93.253189	with
5	1	12	3	1	6	298	845	49	13	92.471024	bg-text
5	1	12	3	1	7	357	845	40	11	96.800880	(token
5	1	12	3	1	8	406	845	40	10	5.004539	color.
5	1	12	3	1	9	450	845	33	11	5.004539	text)
2	1	13	0	0	0	914	95	6	7	-1	
3	1	13	1	0	0	914	95	6	7	-1	
4	1	13	1	1	0	914	95	6	7	-1	
5	1	13	1	1	1	914	95	6	7	95.000000	 
2	1	14	0	0	0	922	92	92	13	-1	
3	1	14	1	0	0	922	92	92	13	-1	
4	1	14	1	1	0	922	92	92	13	-1	
5	1	14	1	1	1	922	92	70	13	35.366589	pacity-50"
5	1	14	1	1	2	1001	93	13	10	87.738228	/>
2	1	15	0	0	0	1372	157	23	24	-1	
3	1	15	1	0	0	1372	157	23	24	-1	
4	1	15	1	1	0	1372	157	23	24	-1	
5	1	15	1	1	1	1372	157	23	24	95.000000	 
2	1	16	0	0	0	1372	300	23	24	-1	
3	1	16	1	0	0	1372	300	23	24	-1	
4	1	16	1	1	0	1372	300	23	24	-1	
5	1	16	1	1	1	1372	300	23	24	95.000000	 
2	1	17	0	0	0	1372	443	23	24	-1	
3	1	17	1	0	0	1372	443	23	24	-1	
4	1	17	1	1	0	1372	443	23	24	-1	
5	1	17	1	1	1	1372	443	23	24	95.000000	 
2	1	18	0	0	0	1372	601	23	30	-1	
3	1	18	1	0	0	1372	601	23	30	-1	
4	1	18	1	1	0	1372	601	23	30	-1	
5	1	18	1	1	1	1372	601	23	30	95.000000	 
2	1	19	0	0	0	1372	744	23	30	-1	
3	1	19	1	0	0	1372	744	23	30	-1	
4	1	19	1	1	0	1372	744	23	30	-1	
5	1	19	1	1	1	1372	744	23	30	95.000000	 
